rsid,Magnitude,Repute,Summary
Rs104894429(C;C),0,Good,common in clinvar
Rs104894430(G;G),0,Good,common in clinvar
Rs104894431(G;G),0,Good,common in clinvar
Rs104894433(C;C),0,Good,common in clinvar
Rs104894434(T;T),0,Good,common in clinvar
Rs104894434(C;C),4,Bad,dystonia due to autosomal recessive GCH1 mutation
Rs104894436(G;G),0,Good,common in clinvar
Rs104894437(A;A),0,Good,common in clinvar
Rs104894438(G;G),0,Good,common in clinvar
Rs104894439(G;G),0,Good,common in clinvar
Rs104894440(A;A),0,Good,common in clinvar
Rs104894441(T;T),0,Good,common in clinvar
Rs104894442(G;G),0,Good,common in clinvar
Rs104894442(C;C),4,Bad,dystonia due to autosomal recessive GCH1 mutation
Rs104894443(G;G),0,Good,common in clinvar
Rs104894443(A;A),4,Bad,dystonia due to autosomal recessive GCH1 mutation
Rs104894444(C;C),0,Good,common in clinvar
Rs104894445(G;G),0,Good,common in clinvar
Rs104894445(A;A),4,Bad,dystonia due to autosomal recessive GCH1 mutation
Rs104894446(C;C),0,Good,common in clinvar
Rs104894447(A;A),0,Good,common in clinvar
Rs104894448(A;A),0,Good,common in clinvar
Rs104894449(T;T),0,Good,common in clinvar
Rs104894450(A;A),0,Good,common in clinvar
Rs104894451(G;G),0,Good,common in clinvar
Rs104894452(A;A),0,Good,common in clinvar
Rs104894453(G;G),0,Good,common in clinvar
Rs104894454(G;G),0,Good,common in clinvar
Rs104894455(C;C),0,Good,common in clinvar
Rs104894457(C;C),0,Good,common in clinvar
Rs104894458(C;C),0,Good,common in clinvar
Rs104894459(T;T),0,Good,common in clinvar
Rs104894460(C;C),0,Good,common in clinvar
Rs104894463(T;T),0,Good,common in clinvar
Rs104894464(C;C),0,Good,common in clinvar
Rs104894465(T;T),0,Good,common in clinvar
Rs104894466(G;G),0,Good,common in clinvar
Rs104894467(A;A),0,Good,common in clinvar
Rs104894468(A;A),0,Good,common in clinvar
Rs104894469(G;G),0,Good,common in clinvar
Rs104894470(C;C),0,Good,common in clinvar
Rs104894471(C;C),0,Good,common in clinvar
Rs104894472(T;T),0,Good,common in clinvar
Rs104894473(T;T),0,Good,common in clinvar
Rs104894474(G;G),0,Good,common in clinvar
Rs104894475(C;C),0,Good,common in clinvar
Rs104894476(C;C),0,Good,common in clinvar
Rs104894478(A;A),0,Good,common in clinvar
Rs104894480(A;A),0,Good,common in clinvar
Rs104894481(G;G),0,Good,common in clinvar
Rs104894483(G;G),0,Good,common in clinvar
Rs104894484(G;G),0,Good,common in clinvar
Rs104894485(G;G),0,Good,common in clinvar
Rs104894486(C;C),0,Good,common in clinvar
Rs104894487(G;G),0,Good,common in clinvar
Rs104894488(C;C),0,Good,common in clinvar
Rs104894489(G;G),0,Good,common in clinvar
Rs104894490(G;G),0,Good,common in clinvar
Rs104894492(C;C),0,Good,common in clinvar
Rs104894493(G;G),0,Good,common in clinvar
Rs104894494(C;C),0,Good,common in clinvar
Rs104894495(T;T),0,Good,common in clinvar
Rs104894496(C;C),0,Good,common in clinvar
Rs104894497(G;G),0,Good,common in clinvar
Rs104894498(T;T),0,Good,common in clinvar
Rs104894499(G;G),0,Good,common in clinvar
Rs104894500(C;C),0,Good,common in clinvar
Rs104894501(G;G),0,Good,common in clinvar
Rs104894502(A;A),0,Good,common in clinvar
Rs104894503(G;G),0,Good,common in clinvar
Rs104894504(T;T),0,Good,common in clinvar
Rs104894505(G;G),0,Good,common in clinvar
Rs104894506(A;A),0,Good,common in clinvar
Rs104894507(G;G),0,Good,common in clinvar
Rs104894508(T;T),0,Good,common in clinvar
Rs104894509(A;A),0,Good,common in clinvar
Rs104894510(A;A),0,Good,common in clinvar
Rs104894511(C;C),0,Good,common in clinvar
Rs104894512(A;A),0,Good,common in clinvar
Rs104894513(G;G),0,Good,common in clinvar
Rs104894514(C;C),0,Good,common in clinvar
Rs104894515(C;C),0,Good,common in clinvar
Rs104894516(C;C),0,Good,common in clinvar
Rs104894517(T;T),0,Good,common in complete genomics
Rs104894518(G;G),0,Good,common in clinvar
Rs104894519(G;G),0,Good,common in clinvar
Rs104894520(C;C),0,Good,common in clinvar
Rs104894521(T;T),0,Good,common in clinvar
Rs104894522(C;C),0,Good,common in clinvar
Rs104894523(C;C),0,Good,common in complete genomics
Rs104894524(C;C),0,Good,common in complete genomics
Rs104894525(G;G),0,Good,common in clinvar
Rs104894526(C;C),0,Good,common in clinvar
Rs104894527(G;G),0,Good,common in clinvar
Rs104894528(C;C),0,Good,common in clinvar
Rs104894530(G;G),0,Good,common in clinvar
Rs104894531(C;C),0,Good,common in clinvar
Rs104894532(G;G),0,Good,common in clinvar
Rs104894533(T;T),0,Good,common in clinvar
Rs104894534(T;T),0,Good,common in clinvar
Rs104894535(C;C),0,Good,common in clinvar
Rs104894537(C;C),0,Good,common in clinvar
Rs104894538(C;C),0,Good,common in clinvar
Rs104894539(G;G),0,Good,common in clinvar
Rs104894540(T;T),0,Good,common in clinvar
Rs104894541(A;A),0,Good,common in clinvar
Rs104894542(T;T),0,Good,common in clinvar
Rs104894544(A;A),0,Good,common in clinvar
Rs104894545(C;C),0,Good,common in clinvar
Rs104894546(C;C),0,Good,common in clinvar
Rs104894547(T;T),0,Good,common in clinvar
Rs104894548(T;T),0,Good,common in clinvar
Rs104894548(C;C),8,Bad,Canavan disease (predicted)
Rs104894549(C;C),0,Good,common in clinvar
Rs104894549(A;A),8,Bad,Canavan disease (predicted)
Rs104894550(A;A),0,Good,common in clinvar
Rs104894550(G;G),8,Bad,Canavan disease (predicted)
Rs104894551(A;A),0,Good,common in clinvar
Rs104894551(G;G),8,Bad,Canavan disease (predicted)
Rs104894552(A;A),0,Good,common in clinvar
Rs104894552(T;T),8,Bad,Canavan disease (predicted)
Rs104894553(G;G),0,Good,common in clinvar
Rs104894553(A;A),4,Bad,mild Canavan disease
Rs104894554(T;T),0,Good,common in clinvar
Rs104894555(C;C),0,Good,common in clinvar
Rs104894556(C;C),0,Good,common in clinvar
Rs104894557(A;A),0,Good,common in clinvar
Rs104894559(C;C),0,Good,common in clinvar
Rs104894560(C;C),0,Good,common in clinvar
Rs104894561(A;A),0,Good,common in clinvar
Rs104894562(C;C),0,Good,common in clinvar
Rs104894563(C;C),0,Good,common in clinvar
Rs104894565(A;A),0,Good,common in clinvar
Rs104894566(T;T),0,Good,common in clinvar
Rs104894567(G;G),0,Good,common in clinvar
Rs104894568(G;G),0,Good,common in clinvar
Rs104894569(G;G),0,Good,common in clinvar
Rs104894571(T;T),0,Good,common in clinvar
Rs104894572(C;C),0,Good,common in clinvar
Rs104894574(T;T),0,Good,common in clinvar
Rs104894575(A;A),0,Good,common in clinvar
Rs104894576(G;G),0,Good,common in clinvar
Rs104894577(G;G),0,Good,common in clinvar
Rs104894578(C;C),0,Good,common in clinvar
Rs104894579(G;G),0,Good,common in clinvar
Rs104894580(C;C),0,Good,common in clinvar
Rs104894581(C;C),0,Good,common in clinvar
Rs104894582(G;G),0,Good,common in clinvar
Rs104894583(A;A),0,Good,common in clinvar
Rs104894584(G;G),0,Good,common in clinvar
Rs104894585(C;C),0,Good,common in clinvar
Rs104894586(G;G),0,Good,common in clinvar
Rs104894587(T;T),0,Good,common in clinvar
Rs104894588(T;T),0,Good,common in clinvar
Rs104894589(T;T),0,Good,common in clinvar
Rs104894590(G;G),0,Good,common in clinvar
Rs104894591(C;C),0,Good,common in clinvar
Rs104894592(C;C),0,Good,common in clinvar
Rs104894593(G;G),0,Good,common in clinvar
Rs104894594(C;C),0,Good,common in clinvar
Rs104894595(C;C),0,Good,common in clinvar
Rs104894596(C;C),0,Good,common in clinvar
Rs104894597(C;C),0,Good,common in clinvar
Rs104894598(G;G),0,Good,common in clinvar
Rs104894599(C;C),0,Good,common in clinvar
Rs104894600(T;T),0,Good,common in clinvar
Rs104894601(C;C),0,Good,common in clinvar
Rs104894602(A;A),0,Good,common in clinvar
Rs104894603(T;T),0,Good,common in clinvar
Rs104894604(G;G),0,Good,common in clinvar
Rs104894605(T;T),0,Good,common in clinvar
Rs104894606(T;T),0,Good,common in clinvar
Rs104894607(G;G),0,Good,common in clinvar
Rs104894608(C;C),0,Good,common in clinvar
Rs104894609(G;G),0,Good,common in clinvar
Rs104894610(G;G),0,Good,common in clinvar
Rs104894611(C;C),0,Good,common in clinvar
Rs104894612(G;G),0,Good,common in clinvar
Rs104894613(T;T),0,Good,common in clinvar
Rs104894614(C;C),0,Good,common in clinvar
Rs104894615(G;G),0,Good,common in clinvar
Rs104894616(A;A),0,Good,common in clinvar
Rs104894617(T;T),0,Good,common in clinvar
Rs104894618(C;C),0,Good,common in clinvar
Rs104894619(C;C),0,Good,common in clinvar
Rs104894620(T;T),0,Good,common in clinvar
Rs104894621(C;C),0,Good,common in clinvar
Rs104894622(C;C),0,Good,common in clinvar
Rs104894623(G;G),0,Good,common in clinvar
Rs104894624(G;G),0,Good,common in clinvar
Rs104894625(C;C),0,Good,common in clinvar
Rs104894626(T;T),0,Good,common in clinvar
Rs104894627(A;A),0,Good,common in clinvar
Rs104894629(C;C),0,Good,common in clinvar
Rs104894630(C;C),0,Good,common in clinvar
Rs104894631(T;T),0,Good,common in clinvar
Rs104894632(G;G),0,Good,common in clinvar
Rs104894633(G;G),0,Good,common in clinvar
Rs104894634(A;A),0,Good,common in clinvar
Rs104894635(G;G),0,Good,common in clinvar
Rs104894635(A;A),8,Bad,Sanfilippo syndrome type A
Rs104894636(C;C),0,Good,common in clinvar
Rs104894637(C;C),0,Good,common in clinvar
Rs104894637(G;G),8,Bad,Sanfilippo syndrome type A
Rs104894638(G;G),0,Good,common in clinvar
Rs104894639(G;G),0,Good,common in clinvar
Rs104894640(G;G),0,Good,common in clinvar
Rs104894641(G;G),0,Good,common in clinvar
Rs104894642(C;C),0,Good,common in clinvar
Rs104894643(G;G),0,Good,common in clinvar
Rs104894644(G;G),0,Good,common in clinvar
Rs104894645(C;C),0,Good,common in clinvar
Rs104894647(A;A),0,Good,common in clinvar
Rs104894648(C;C),0,Good,common in clinvar
Rs104894649(G;G),0,Good,common in clinvar
Rs104894650(C;C),0,Good,common in clinvar
Rs104894651(T;T),0,Good,common in clinvar
Rs104894652(G;G),0,Good,common in clinvar
Rs104894653(C;C),0,Good,common in clinvar
Rs104894654(C;C),0,Good,common in clinvar
Rs104894655(C;C),0,Good,common in clinvar
Rs104894656(C;C),0,Good,common in clinvar
Rs104894657(C;C),0,Good,common in clinvar
Rs104894658(G;G),0,Good,common in clinvar
Rs104894659(C;C),0,Good,common in clinvar
Rs104894660(C;C),0,Good,common in clinvar
Rs104894661(G;G),0,Good,common in clinvar
Rs104894662(G;G),0,Good,common in clinvar
Rs104894663(C;C),0,Good,common in clinvar
Rs104894664(G;G),0,Good,common in clinvar
Rs104894665(T;T),0,Good,common in clinvar
Rs104894666(C;C),0,Good,common in clinvar
Rs104894667(C;C),0,Good,common in clinvar
Rs104894668(T;T),0,Good,common in clinvar
Rs104894669(G;G),0,Good,common in clinvar
Rs104894670(G;G),0,Good,common in complete genomics
Rs104894671(A;A),0,Good,common in clinvar
Rs104894672(C;C),0,Good,common in clinvar
Rs104894673(C;C),0,Good,common in clinvar
Rs104894674(G;G),0,Good,common in clinvar
Rs104894675(C;C),0,Good,common in clinvar
Rs104894676(G;G),0,Good,common in clinvar
Rs104894677(G;G),0,Good,common in clinvar
Rs104894678(G;G),0,Good,common in clinvar
Rs104894679(A;A),0,Good,common in clinvar
Rs104894680(C;C),0,Good,common in clinvar
Rs104894681(C;C),0,Good,common in clinvar
Rs104894682(T;T),0,Good,common in clinvar
Rs104894683(G;G),0,Good,common in clinvar
Rs104894684(G;G),0,Good,common in clinvar
Rs104894685(G;G),0,Good,common in clinvar
Rs104894686(C;C),0,Good,common in clinvar
Rs104894687(T;T),0,Good,common in clinvar
Rs104894688(C;C),0,Good,common in clinvar
Rs104894689(G;G),0,Good,common in clinvar
Rs104894690(C;C),0,Good,common in clinvar
Rs104894691(T;T),0,Good,common in clinvar
Rs104894692(T;T),0,Good,common in clinvar
Rs104894694(A;A),0,Good,common in clinvar
Rs104894695(C;C),0,Good,common in clinvar
Rs104894696(G;G),0,Good,common in clinvar
Rs104894697(C;C),0,Good,common in clinvar
Rs104894698(C;C),0,Good,common in clinvar
Rs104894699(G;G),0,Good,common in clinvar
Rs104894700(C;C),0,Good,common in clinvar
Rs104894701(C;C),0,Good,common in clinvar
Rs104894702(T;T),0,Good,common in clinvar
Rs104894703(T;T),0,Good,common in clinvar
Rs104894704(G;G),0,Good,common in clinvar
Rs104894705(G;G),0,Good,common in clinvar
Rs104894706(C;C),0,Good,common in clinvar
Rs104894707(T;T),0,Good,common in clinvar
Rs104894708(C;C),0,Good,common in clinvar
Rs104894709(A;A),0,Good,common in clinvar
Rs104894711(C;C),0,Good,common in clinvar
Rs104894714(C;C),0,Good,common in clinvar
Rs104894715(C;C),0,Good,common in clinvar
Rs104894716(G;G),0,Good,common in clinvar
Rs104894717(G;G),0,Good,common in clinvar
Rs104894718(C;C),0,Good,common in clinvar
Rs104894719(T;T),0,Good,common in clinvar
Rs104894720(G;G),0,Good,common in clinvar
Rs104894721(C;C),0,Good,common in clinvar
Rs104894722(T;T),0,Good,common in clinvar
Rs104894724(C;C),0,Good,common in clinvar
Rs104894725(A;A),0,Good,common in clinvar
Rs104894725(C;C),6,Bad,"Familial hypertrophic cardiomyopathy, type 7"
Rs104894727(G;G),0,Good,common in clinvar
Rs104894727(A;A),6,Bad,"Familial hypertrophic cardiomyopathy, type 7"
Rs104894728(A;A),0,Good,common in clinvar
Rs104894728(G;G),6,Bad,"Familial hypertrophic cardiomyopathy, type 7"
Rs104894729(G;G),0,Good,common in clinvar
Rs104894729(A;A),6,Bad,"Familial restrictive cardiomyopathy, type 1"
Rs104894730(A;A),0,Good,common in clinvar
Rs104894730(G;G),6,Bad,"Familial restrictive cardiomyopathy, type 1"
Rs104894732(T;T),0,Good,common in clinvar
Rs104894733(C;C),0,Good,common in clinvar
Rs104894734(G;G),0,Good,common in clinvar
Rs104894735(C;C),0,Good,common in clinvar
Rs104894736(C;C),0,Good,common in clinvar
Rs104894737(T;T),0,Good,common in clinvar
Rs104894738(G;G),0,Good,common in clinvar
Rs104894739(C;C),0,Good,common in clinvar
Rs104894740(C;C),0,Good,common in clinvar
Rs104894741(T;T),0,Good,common in clinvar
Rs104894742(G;G),0,Good,common in clinvar
Rs104894743(C;C),0,Good,common in clinvar
Rs104894745(C;C),0,Good,common in clinvar
Rs104894746(G;G),0,Good,common in clinvar
Rs104894747(C;C),0,Good,common in clinvar
Rs104894748(G;G),0,Good,common in clinvar
Rs104894749(A;A),0,Good,common in clinvar
Rs104894750(C;C),0,Good,common in clinvar
Rs104894751(G;G),0,Good,common in clinvar
Rs104894752(A;A),0,Good,common in clinvar
Rs104894753(C;C),0,Good,common in clinvar
Rs104894754(G;G),0,Good,common in clinvar
Rs104894755(G;G),0,Good,common in clinvar
Rs104894756(G;G),0,Good,common in clinvar
Rs104894757(C;C),0,Good,common in clinvar
Rs104894758(T;T),0,Good,common in clinvar
Rs104894759(T;T),0,Good,common in clinvar
Rs104894760(C;C),0,Good,common in clinvar
Rs104894761(C;C),0,Good,common in clinvar
Rs104894763(C;C),0,Good,common in clinvar
Rs104894764(G;G),0,Good,common in clinvar
Rs104894765(A;A),0,Good,common in clinvar
Rs104894766(C;C),0,Good,common in clinvar
Rs104894767(G;G),0,Good,common in clinvar
Rs104894768(G;G),0,Good,common in clinvar
Rs104894769(T;T),0,Good,common in clinvar
Rs104894770(G;G),0,Good,common in clinvar
Rs104894771(G;G),0,Good,common in clinvar
Rs104894772(A;A),0,Good,common in clinvar
Rs104894773(T;T),0,Good,common in clinvar
Rs104894774(T;T),0,Good,common in clinvar
Rs104894775(G;G),0,Good,common in clinvar
Rs104894776(G;G),0,Good,common in clinvar
Rs104894777(T;T),0,Good,common in clinvar
Rs104894778(C;C),0,Good,common in clinvar
Rs104894779(G;G),0,Good,common in clinvar
Rs104894780(C;C),0,Good,common in clinvar
Rs104894781(T;T),0,Good,common in clinvar
Rs104894782(C;C),0,Good,common in clinvar
Rs104894782(G;G),1,,Likely miscall in LivingDNA data
Rs104894783(A;A),0,Good,common in clinvar
Rs104894784(G;G),0,Good,common in clinvar
Rs104894785(C;C),0,Good,common in clinvar
Rs104894785(G;G),1,,Miscall in LivingDNA data
Rs104894786(G;G),0,Good,common in clinvar
Rs104894787(C;C),0,Good,common in clinvar
Rs104894788(G;G),0,Good,common in clinvar
Rs104894789(C;C),0,Good,common in clinvar
Rs104894790(C;C),0,Good,common in clinvar
Rs104894791(C;C),0,Good,common in clinvar
Rs104894792(G;G),0,Good,common in clinvar
Rs104894793(C;C),0,Good,common in clinvar
Rs104894794(G;G),0,Good,common in clinvar
Rs104894795(T;T),0,Good,common in clinvar
Rs104894796(C;C),0,Good,common in clinvar
Rs104894797(C;C),0,Good,common in clinvar
Rs104894797(T;T),6.2,Bad,Dilated cardiomyopathy
Rs104894798(G;G),0,Good,common in clinvar
Rs104894799(C;C),0,Good,common in clinvar
Rs104894800(G;G),0,Good,common in clinvar
Rs104894801(C;C),0,Good,common in clinvar
Rs104894802(T;T),0,Good,common in clinvar
Rs104894803(G;G),0,Good,common in clinvar
Rs104894804(C;C),0,Good,common in clinvar
Rs104894805(C;C),0,Good,common in clinvar
Rs104894805(A;A),6.4,Bad,Emery-Dreifuss Muscular Dystrophy
Rs104894806(C;C),0,Good,common in clinvar
Rs104894807(T;T),0,Good,common in clinvar
Rs104894808(G;G),0,Good,common in clinvar
Rs104894809(G;G),0,Good,common in clinvar
Rs104894810(C;C),0,Good,common in clinvar
Rs104894811(C;C),0,Good,common in clinvar
Rs104894812(G;G),0,Good,common in clinvar
Rs104894813(T;T),0,Good,common in clinvar
Rs104894814(C;C),0,Good,common in clinvar
Rs104894815(G;G),0,Good,common in clinvar
Rs104894816(A;A),0,Good,common in clinvar
Rs104894817(T;T),0,Good,common in clinvar
Rs104894818(T;T),0,Good,common in clinvar
Rs104894819(A;A),0,Good,common in clinvar
Rs104894820(G;G),0,Good,common in clinvar
Rs104894821(G;G),0,Good,common in clinvar
Rs104894822(A;A),0,Good,common in clinvar
Rs104894823(C;C),0,Good,common in clinvar
Rs104894824(C;C),0,Good,common in clinvar
Rs104894825(T;T),0,Good,common in clinvar
Rs104894826(T;T),0,Good,common in clinvar
Rs104894827(C;C),0,Good,common in clinvar
Rs104894827(T;T),6,Bad,Fabry disease
Rs104894828(G;G),0,Good,common in clinvar
Rs104894829(G;G),0,Good,common in clinvar
Rs104894830(A;A),0,Good,common in clinvar
Rs104894831(C;C),0,Good,common in clinvar
Rs104894831(T;T),6,Bad,Fabry disease
Rs104894832(G;G),0,Good,common in clinvar
Rs104894833(G;G),0,Good,common in clinvar
Rs104894834(C;C),0,Good,common in clinvar
Rs104894834(T;T),6,Bad,Fabry disease
Rs104894835(A;A),0,Good,common in clinvar
Rs104894835(G;G),6,Bad,Fabry disease
Rs104894836(T;T),0,Good,common in clinvar
Rs104894837(C;C),0,Good,common in clinvar
Rs104894838(T;T),0,Good,common in clinvar
Rs104894839(G;G),0,Good,common in clinvar
Rs104894839(A;A),6,Bad,Fabry disease
Rs104894840(G;G),0,Good,common in clinvar
Rs104894841(C;C),0,Good,common in clinvar
Rs104894841(T;T),6,Bad,Fabry disease
Rs104894842(G;G),0,Good,common in clinvar
Rs104894843(C;C),0,Good,common in clinvar
Rs104894843(T;T),6,Bad,Fabry disease
Rs104894844(G;G),0,Good,common in clinvar
Rs104894844(T;T),6,Bad,Fabry disease
Rs104894845(G;G),0,Good,common in clinvar
Rs104894846(G;G),0,Good,common in clinvar
Rs104894847(G;G),0,Good,common in clinvar
Rs104894847(C;C),6,Bad,Fabry disease
Rs104894848(G;G),0,Good,common in clinvar
Rs104894849(T;T),0,Good,common in clinvar
Rs104894851(C;C),0,Good,common in clinvar
Rs104894852(A;A),0,Good,common in clinvar
Rs104894852(G;G),6,Bad,Fabry disease
Rs104894854(T;T),0,Good,common in clinvar
Rs104894855(C;C),0,Good,common in clinvar
Rs104894857(C;C),0,Good,common in clinvar
Rs104894858(G;G),0,Good,common in clinvar
Rs104894859(T;T),0,Good,common in clinvar
Rs104894864(G;G),0,Good,common in clinvar
